   3    -0.62513876
   4     0.27832794
   5     0.77457714
   6     1.00942063
   7     1.08154440
   8     1.05686665
   9     0.97870469
  10     0.87490869
  11     0.76285577
  12     0.65291369
  13     0.55084062
  14     0.45943296
  15     0.37963319
  16     0.31126678
  17     0.25354552
  18     0.20537201
  19     0.16554622
  20     0.13287951
  21     0.10626011
  22     0.08469172
  23     0.06730145
  24     0.05333950
  25     0.04217213
  26     0.03326976
  27     0.02619408
  28     0.02058570
  29     0.01615081
  30     0.01265159
  31     0.00989631
  32     0.00773074
  33     0.00603158
  34     0.00470041
  35     0.00365905
  36     0.00284550
  37     0.00221072
  38     0.00171603
  39     0.00133090
  40     0.00103137
  41     0.00079865
  42     0.00061800
  43     0.00047789
  44     0.00036930
  45     0.00028522
  46     0.00022015
  47     0.00016983
  48     0.00013094
  49     0.00010091
  50     0.00007772
  51     0.00005984
  52     0.00004605
  53     0.00003542
  54     0.00002724
  55     0.00002093
  56     0.00001608
  57     0.00001235
  58     0.00000948
  59     0.00000728
  60     0.00000558
  61     0.00000428
  62     0.00000328
  63     0.00000252
  64     0.00000193
  65     0.00000148
  66     0.00000113
  67     0.00000087
  68     0.00000066
  69     0.00000051
  70     0.00000039
  71     0.00000030
  72     0.00000023
  73     0.00000017
  74     0.00000013
  75     0.00000010
  76     0.00000008
  77     0.00000006
  78     0.00000005
  79     0.00000003
  80     0.00000003
  81     0.00000002
  82     0.00000002
  83     0.00000001
  84     0.00000001
  85     0.00000001
  86     0.00000001
  87     0.00000000
  88     0.00000000
  89     0.00000000
  90     0.00000000
  91     0.00000000
  92     0.00000000
  93     0.00000000
  94     0.00000000
  95     0.00000000
  96     0.00000000
  97     0.00000000
  98     0.00000000
  99     0.00000000
